Altium Designer Pick and Place Locations
D:\Users\Documents\Altium\MultiBoard_Line_Follower_v1\01 - Main_Board\Project Outputs for 01 - Main_Board\Pick Place\Pick Place for [01]-Robot.txt

========================================================================================================================
File Design Information:

Date:       04/09/23
Time:       15:11
Revision:   11
Variant:    No variations
Units used: mil

Designator Comment            Layer       Footprint                      Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                      
TP13       Ø1.0mm,SMD         BottomLayer TP_SMD_Ø1.0MM                  3540.807      1119.547      90       "1.0mm circular SMD testpad"                                                                                                                     
TP5        Ø1.0mm,SMD         BottomLayer TP_SMD_Ø1.0MM                  2118.110      472.441       90       "1.0mm circular SMD testpad"                                                                                                                     
TP12       Ø1.0mm,SMD         BottomLayer TP_SMD_Ø1.0MM                  2929.134      2078.740      90       "1.0mm circular SMD testpad"                                                                                                                     
TP11       Ø1.0mm,SMD         BottomLayer TP_SMD_Ø1.0MM                  2807.087      2035.433      90       "1.0mm circular SMD testpad"                                                                                                                     
TP10       Ø1.0mm,SMD         TopLayer    TP_SMD_Ø1.0MM                  2669.291      2314.961      90       "1.0mm circular SMD testpad"                                                                                                                     
TP9        Ø1.0mm,SMD         TopLayer    TP_SMD_Ø1.0MM                  2669.291      2244.095      90       "1.0mm circular SMD testpad"                                                                                                                     
TP8        Ø1.0mm,SMD         TopLayer    TP_SMD_Ø1.0MM                  2338.583      2275.591      90       "1.0mm circular SMD testpad"                                                                                                                     
TP7        Ø1.0mm,SMD         TopLayer    TP_SMD_Ø1.0MM                  2377.953      2216.535      90       "1.0mm circular SMD testpad"                                                                                                                     
TP6        Ø1.0mm,SMD         TopLayer    TP_SMD_Ø1.0MM                  2598.425      2244.095      90       "1.0mm circular SMD testpad"                                                                                                                     
TP4        Ø1.0mm,SMD         BottomLayer TP_SMD_Ø1.0MM                  3535.433      803.150       90       "1.0mm circular SMD testpad"                                                                                                                     
TP3        Ø1.0mm,SMD         BottomLayer TP_SMD_Ø1.0MM                  2118.110      539.370       90       "1.0mm circular SMD testpad"                                                                                                                     
TP2        Ø1.0mm,SMD         BottomLayer TP_SMD_Ø1.0MM                  3539.370      1200.787      90       "1.0mm circular SMD testpad"                                                                                                                     
TP1        Ø1.0mm,SMD         BottomLayer TP_SMD_Ø1.0MM                  3535.433      716.535       180      "1.0mm circular SMD testpad"                                                                                                                     
C1         10uF               TopLayer    CAP_SMD_4X5.8                  3409.449      901.575       0        "Aluminum Electrolytic Capacitor, UD Series, Low Impedance, 10 uF, 25 V, + / - 20%, -55 to 105 degC, Chip Type, 4 x 5.8 mm D x L, Pb-Free, Reel" 
C35        10uF               TopLayer    CAP_SMD_4X5.8                  1850.394      807.087       180      "Aluminum Electrolytic Capacitor, UD Series, Low Impedance, 10 uF, 25 V, + / - 20%, -55 to 105 degC, Chip Type, 4 x 5.8 mm D x L, Pb-Free, Reel" 
C42        10uF               TopLayer    CAP_SMD_4X5.8                  3129.921      807.087       0        "Aluminum Electrolytic Capacitor, UD Series, Low Impedance, 10 uF, 25 V, + / - 20%, -55 to 105 degC, Chip Type, 4 x 5.8 mm D x L, Pb-Free, Reel" 
R18        10K                TopLayer    RES_0603                       3299.213      2858.268      270      "Resistor SMD 0603"                                                                                                                              
R17        10K                TopLayer    RES_0603                       2291.339      2858.268      270      "Resistor SMD 0603"                                                                                                                              
R16        10K                TopLayer    RES_0603                       3244.095      2858.268      90       "Resistor SMD 0603"                                                                                                                              
R15        10K                TopLayer    RES_0603                       2181.102      2858.268      90       "Resistor SMD 0603"                                                                                                                              
X3         "Pin Header 6p"    TopLayer    CON_PH_6X1                     1842.520      346.457       90       "Female, 6 C, Straight, .100"CC; 3.20mm Tail, No Mt. 100u" Tin; PBT, Phos Bronze, 105 C"                                                         
J1         TYPE-C-31-M-12     TopLayer    TYPE-C-31-M-12                 2500.000      216.535       0        "USB Type C Connector Horizontal SMT"                                                                                                            
J7         "3X2 BergStrip"    TopLayer    CON6_100_59D78_TH_ST_Duplicate 3068.110      1964.567      90       "6 Pins, 2 Row 2.54mm Pitch, Straight bergstrip, Male"                                                                                           
SB3        SB                 TopLayer    SB_1MM                         2972.441      236.220       90       ""                                                                                                                                               
SB2        SB                 TopLayer    SB_1MM                         3078.740      1212.598      270      ""                                                                                                                                               
SB1        SB                 TopLayer    SB_1MM                         3338.583      1031.496      90       ""                                                                                                                                               
R22        100R               TopLayer    RES_0603                       3389.764      145.669       90       "Resistor SMD 0603"                                                                                                                              
R20        100K               TopLayer    RES_0603                       2877.953      240.157       0        "Resistor SMD 0603"                                                                                                                              
Q3         AOD4185            TopLayer    INF-PG-TO252-3-11_N            3045.276      413.386       180      "Trans MOSFET P-CH 40V 40A 3-Pin(2+Tab) DPAK"                                                                                                    
C63        100n               TopLayer    CAP_0603                       3440.945      145.669       90       "Capacitor SMD 0603 16V"                                                                                                                         
C62        100n               TopLayer    CAP_0603                       2704.724      1311.024      90       "Capacitor SMD 0603 16V"                                                                                                                         
C61        100n               TopLayer    CAP_0603                       2114.173      1311.024      270      "Capacitor SMD 0603 16V"                                                                                                                         
J2         "3X2 BergStrip"    TopLayer    CON6_100_59D78_TH_ST_Duplicate 1907.874      1032.677      180      "6 Pins, 2 Row 2.54mm Pitch, Straight bergstrip, Male"                                                                                           
J6         B2B-XH-A(LF)(SN)   BottomLayer FP-B2B-XH-A_LF_SN-MFG          2082.677      154.528       180      "CONN HEADER VERT 2POS 2.5MM"                                                                                                                    
J5         B2B-XH-A(LF)(SN)   BottomLayer FP-B2B-XH-A_LF_SN-MFG          2921.260      154.528       180      "CONN HEADER VERT 2POS 2.5MM"                                                                                                                    
X2         XTAL_3225          TopLayer    XTAL_3225                      2555.118      2145.669      0        "Crystal SMD 3225"                                                                                                                               
U11        STM32F446RET6      TopLayer    FP-LQFP64-5W-IPC_B             2500.000      1748.032      270      "ARM® Cortex®-M4 STM32 F4 Microcontroller IC 32-Bit 180MHz 512KB (512K x 8) FLASH 64-LQFP (10x10)"                                               
SW3        MSK12C02-HB        TopLayer    MSK12C02-HB                    1895.669      1791.339      270      "SWITCH SLIDE SPDT 50MA 12VDC"                                                                                                                   
SW2        DTSM-3             TopLayer    DTSM-3                         1893.701      2188.976      180      "Tactile Switch SMD SPST"                                                                                                                        
R45        1K                 TopLayer    RES_0603                       1866.142      1570.866      180      "Resistor SMD 0603"                                                                                                                              
R44        1K                 TopLayer    RES_0603                       1751.968      1570.866      180      "Resistor SMD 0603"                                                                                                                              
R43        1K                 TopLayer    RES_0603                       1940.945      1460.630      270      "Resistor SMD 0603"                                                                                                                              
R42        10K                TopLayer    RES_0603                       1834.646      2015.748      90       "Resistor SMD 0603"                                                                                                                              
R41        280R               TopLayer    RES_0603                       2511.811      2039.370      0        "Resistor SMD 0603"                                                                                                                              
R40        4.7K               TopLayer    RES_0603                       1970.472      2031.496      180      "Resistor SMD 0603"                                                                                                                              
R39        4.7K               TopLayer    RES_0603                       2440.945      1350.394      0        "Resistor SMD 0603"                                                                                                                              
R38        4.7K               TopLayer    RES_0603                       2440.945      1295.276      180      "Resistor SMD 0603"                                                                                                                              
R37        4.7K               TopLayer    RES_0603                       2846.457      1842.520      180      "Resistor SMD 0603"                                                                                                                              
R36        4.7K               TopLayer    RES_0603                       2846.457      1740.158      180      "Resistor SMD 0603"                                                                                                                              
LED1       150141M173100      TopLayer    3528_A                         1807.087      1460.581      0        "SMD Full-Color Top LED, WL-SFTW, Red & Green & Blue"                                                                                            
