"Bill of Material for Analog Switch.SchDoc"
"On 04/09/2023 at 15:13:48"

"Comment","Pattern","Quantity","Components","Description"


"","RES_0603","2","R24, R32","Resistor SMD 0603"
"1K","RES_0603","6","R1, R3, R9, R43, R44, R45","Resistor SMD 0603"
"1u","CAP_0603","2","C32, C56","Capacitor SMD 0603 16V"
"1.8K","RES_0603","2","R28, R34","Resistor SMD 0603"
"2N7002LT1G","SOT-23","1","Q2","Small Signal MOSFET, 60 V, 115 mA, N-Channel, 3-Pin SOT-23, Pb-Free, Tape and Reel"
"2.2u","CAP_0603","3","C18, C19, C59","Capacitor SMD 0603 16V"
"3X2 BergStrip","CON6_100_59D78_TH_ST_Duplicate","3","J2, J3, J7","6 Pins, 2 Row 2.54mm Pitch, Straight bergstrip, Male"
"4.32K","RES_0603","1","R8","Resistor SMD 0603"
"4.7K","RES_0603","5","R36, R37, R38, R39, R40","Resistor SMD 0603"
"4.7uH","MWSA0603S","1","L2","Fixed Ind 4.7UH 6A 33 Mohm SMD"
"5.1K","RES_0603","2","R6, R7","Resistor SMD 0603"
"10K","RES_0603","9","R13, R14, R15, R16, R17, R18, R21, R30, R42","Resistor SMD 0603"
"10K 1%","RES_0603","1","R4","Resistor SMD 0603"
"10n","CAP_0603","1","C28","Capacitor SMD 0603 16V"
"10u","CAP_0603","8","C2, C5, C15, C16, C17, C20, C30, C31","Capacitor SMD 0603 16V"
"10uF","CAP SMD 4X5.8","3","C1, C35, C42","Aluminum Electrolytic Capacitor, UD Series, Low Impedance, 10 uF, 25 V, + / - 20%, -55 to 105 degC, Chip Type, 4 x 5.8 mm D x L, Pb-Free, Reel"
"13.3K","RES_0603","1","R11","Resistor SMD 0603"
"16K","RES_0603","2","R23, R31","Resistor SMD 0603"
"16P 0.5MM","CONN12x1_FH34SRJ-16S-0.5SH(50)","1","X1","Ffc-fpc Connector, Receptacle, Number Of Positions 16, Horizontal, Rated Current 0.5 A"
"21K","RES_0603","1","R10","Resistor SMD 0603"
"22n","CAP_0603","2","C34, C41","Capacitor SMD 0603 16V"
"22p","CAP_0603","3","C11, C48, C49","Capacitor SMD 0603 16V"
"22u","CAP_0603","4","C7, C8, C9, C10","Capacitor SMD 0603 16V"
"27K","RES_0603","1","R5","Resistor SMD 0603"
"47u","CAP_0603","1","C14","Capacitor SMD 0603 16V"
"50K","RES_0603","2","R27, R33","Resistor SMD 0603"
"100K","RES_0603","1","R20","Resistor SMD 0603"
"100n","CAP_0603","33","C3, C4, C12, C13, C21, C22, C23, C24, C25, C26, C27, C29, C33, C36, C37, C38, C39, C40, C43, C44, C45, C46, C47, C51, C52, C53, C54, C57, C58, C60, C61, C62, C63","Capacitor SMD 0603 16V"
"100R","RES_0603","2","R12, R22","Resistor SMD 0603"
"190K 1%","RES_0603","1","R2","Resistor SMD 0603"
"280R","RES_0603","1","R41","Resistor SMD 0603"
"150141M173100","3528_A","1","LED1","SMD Full-Color Top LED, WL-SFTW, Red & Green & Blue"
"AOD4185","INF-PG-TO252-3-11_N","1","Q3","Trans MOSFET P-CH 40V 40A 3-Pin(2+Tab) DPAK"
